response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
20.0083,1.3459,0.1107,0.0045,3.1600,15.4979,200,0.0546
20.0084,1.3454,0.1108,0.0045,3.5805,15.0780,200,0.0547
20.0084,1.3447,0.1109,0.0045,3.4094,15.2497,200,0.0547
20.0084,1.3437,0.1109,0.0043,3.6040,15.0563,200,0.0548
20.0084,1.3463,0.1122,0.0044,3.4775,15.1802,200,0.0548
20.0084,1.3754,0.1124,0.0279,3.3538,15.2513,200,0.0549
20.0084,1.3460,0.1124,0.0044,3.2255,15.4325,200,0.0549
20.0084,1.3993,0.1125,0.0023,4.5835,14.0234,200,0.0550
20.0085,1.3438,0.1125,0.0045,3.5805,15.0798,200,0.0550
20.0085,1.3442,0.1126,0.0045,3.7162,14.9436,200,0.0551
20.0085,1.3674,0.1127,0.0040,3.8058,14.8312,200,0.0552
20.0086,1.3660,0.1128,0.0011,4.4386,14.2029,200,0.0552
20.0086,1.3973,0.1128,0.0124,3.5391,15.0597,200,0.0553
20.0086,1.3673,0.1129,0.0040,3.3992,15.2381,200,0.0553
20.0087,1.3684,0.1129,0.0038,3.8232,14.8131,200,0.0554
20.0087,1.3693,0.1130,0.0036,3.6897,14.9461,200,0.0554
20.0087,1.3634,0.1130,0.0028,3.8391,14.8034,200,0.0555
20.0087,1.4025,0.1131,0.0023,3.2897,15.3143,200,0.0555
20.0088,1.3604,0.1131,0.0047,3.6325,15.0112,200,0.0556
20.0088,1.3689,0.1132,0.0036,3.3000,15.3362,200,0.0556
20.0089,1.3448,0.1132,0.0045,3.2698,15.3897,200,0.0557
20.0089,1.3986,0.1133,0.0023,3.5994,15.0086,200,0.0557
20.0089,1.3984,0.1134,0.0022,3.5604,15.0479,200,0.0558
20.0090,1.3598,0.1134,0.0047,3.6515,14.9928,200,0.0558
20.0090,1.4017,0.1135,0.0024,3.4294,15.1755,200,0.0559
20.0090,1.3502,0.1138,0.0137,3.5238,15.1212,200,0.0560
20.0090,1.3694,0.1139,0.0036,3.5896,15.0464,200,0.0560
20.0090,1.3683,0.1142,0.0036,4.1108,14.5263,200,0.0561
20.0091,1.4019,0.1143,0.0023,3.7004,14.9045,200,0.0562
20.0091,1.3746,0.1144,0.0280,3.7371,14.8694,200,0.0562
20.0091,1.3441,0.1161,0.0045,3.6287,15.0318,200,0.0563
20.0092,1.3685,0.1163,0.0036,3.7294,14.9077,200,0.0563
20.0092,1.3625,0.1165,0.0028,3.5657,15.0782,200,0.0564
20.0092,1.3978,0.1166,0.0023,3.0596,15.5494,200,0.0564
